"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
928,0.06,1,200,0.5,0.664723108934549,0.864797850363918
728,0.06,1,200,0.6,0.74072652970322,0.946280608423252
652,0.04,1,400,0.65,0.776241347503536,0.985978305040579
528,0.06,1,200,0.7,0.809690160599656,0.921573930834861
903,0.06,1,100,0.5,0.859459312311498,1.13151563808792
453,0.06,1,400,0.75,0.87258266709241,1.04011005464403
601,0.01,1,100,0.65,0.876786436549164,1.08513608457728
403,0.06,1,100,0.75,0.889506522894448,1.13195874565661
502,0.04,1,100,0.7,0.894260822709785,1.10977214834031
402,0.04,1,100,0.75,0.894631232885304,1.17410383132513
